autoincrement,date,text,boolean,autoincrement1,autoincrement2
100,2023-06-15Ê,"parturient montes,",Dislike,100,100
101,2023-08-09Ê,dui nec,Like,101,101
102,2023-02-02Ê,"est, vitae",Dislike,102,102
103,2023-05-28Ê,"nec,",Dislike,103,103
104,2023-07-19Ê,"Nulla tincidunt,",Like,104,104
105,2023-01-17Ê,lorem,Like,105,105
106,2024-05-07Ê,fringilla purus,Like,106,106
107,2023-08-01Ê,arcu. Aliquam,Like,107,107
108,2024-08-09Ê,semper tellus,Dislike,108,108
109,2023-05-04Ê,Phasellus nulla.,Dislike,109,109